Class,N_true,TP,FP,FN,TN,DR % ↑,FAR % ↓,Specificity,Precision,F1-Score
Normal,43056,25447,4709,17609,27085,59.1021,14.811,85.189,0.8438,0.6952
DoS,8365,5530,349,2835,66136,66.1088,0.5249,99.4751,0.9406,0.7765
Probe,4553,2884,2553,1669,67744,63.3429,3.6317,96.3683,0.5304,0.5774
R2L,18809,14435,18840,4374,37201,76.7452,33.6182,66.3818,0.4338,0.5543
U2R,67,20,83,47,74700,29.8507,0.111,99.889,0.1942,0.2353
Macro Avg,74850,,,,,59.0299,,,0.5886,0.5677
Wtd. Avg,74850,,,,,,,,,0.6613
Accuracy,74850,,,,,64.5504,,,,0.6455
