Class,TP,FP,FN,TN,DR (%),FAR (%),Precision,F1-Score,AUC-ROC
Normal,30128,5146,12926,24523,69.9772,17.3447,0.8541,0.7693,0.8697
Attack,24523,12926,5146,30128,82.6553,30.0228,0.6548,0.7307,0.8697
Macro Avg,,,,,76.3162,23.6838,0.7545,0.75,0.8697
